"code",approved,flag,category,subcat,title,author,year,isbn,other_info,comments
"carowyn",1,0,"METAL / SMITHING BOOKS","","The Mastermyr Find: A Viking Age Tool Chest From Gotland","Greta Arwidsson &amp; Gosta Berg","1999","ISBN 0-9650755-1-6","",""
"carowyn",1,0,"METAL / SMITHING BOOKS","","Silver","Bonhams &amp; Hamptons (auction house) - The Channel Islands","4/26/95","","",""
"carowyn",1,0,"METAL / SMITHING BOOKS","","Silver: The Smithsonian Illustrated Library of Antiques","Jessie McNabb","1981","LCC 78-62731","",""
"carowyn",1,0,"METAL / SMITHING BOOKS","","Silverware of the 20th Century: The Top 250 Patterns","Harry L Rinker","1997","isbn 0-676-60086-7","",""
"carowyn",1,0,"METAL / SMITHING BOOKS","","Medieval Crafts: A Book of Days","John Cherry","1993","isbn 0-500-01587-2","",""
"carowyn",1,0,"METAL / SMITHING BOOKS","","Gold Frying Pan Article","National Geographic","January 1974","Vol 145 No 1","",""
"carowyn",1,0,"GEM BOOKS","Gems","Gems &amp; Jewelry in Color","Ove Dragsted","1975","isbn 0-02-533500-6","",""
"carowyn",1,0,"GEM BOOKS","Gems","Gems: a Lively Guide for the Casual Collector","Daniel J Dennis Jr","1999","isbn 0-8109-4126-0","",""
"carowyn",1,0,"GEM BOOKS","Gems","The Gem Kingdom","Paul E. Desautels","date unknown","lcc 70-158812","",""
"carowyn",1,0,"GEM BOOKS","Gems","The National Gem Collection","Jeffrey E. Post","1997","isbn 0-8109-3690-9","",""
"carowyn",1,0,"GEM BOOKS","Gems","Precious Stones: Their History &amp; Mystery","William Jones","1880","lcc 68-22031","",""
"carowyn",1,0,"GEM BOOKS","Gems","The Smithsonian Treasury Minerals and Gems","John Sampson White","1991","isbn 0-517-05951-7","",""
"carowyn",1,0,"GEM BOOKS","Gems","Glossary of Obsolete Mineral Names","Peter Bayliss","2000","isbn 0-930259-04-1","","$24"
"carowyn",1,0,"GEM BOOKS","Gems","Encyclopedia of Mineral Names","William H Blackburn, William H Dennen","1997","isbn 0-921294-45-x","",""
"carowyn",1,0,"GEM BOOKS","Diamonds","Diamonds","Eric Bruton","1978","isbn 0-8019-6789-9","",""
"carowyn",1,0,"GEM BOOKS","Diamonds","Diamonds are a Girl's Best Friend","Sue Heady","1999","isbn 0-78581-097-8","",""
"carowyn",1,0,"GEM BOOKS","Emeralds","Emeralds are a Girl's Best Friend","Sue Heady","1999","isbn 0-78581-098-6","",""
"carowyn",1,0,"GEM BOOKS","Rubies","Rubies are a Girl's Best Friend","Sue Heady","1999","isbn 0-78581-099-4","",""
"carowyn",1,0,"GEM BOOKS","Pearls","Pearl Buying Guide 3rd Edition","Renee Newman","1999","isbn 0-929975-27-8","",""
"carowyn",1,0,"GEM BOOKS","Ivory","The Color of Ivory: Polychromy on Byzantine Ivories","Carolyn L Connor","1998","isbn 0-691-04818-5","",""
"carowyn",1,0,"GEM BOOKS","Ivory","Ivories of the West","Massimo Carra","1970","Hamlyn / Cameo Books","",""
"carowyn",1,0,"GEM BOOKS","Ivory","Masterpieces of Ivory From the Walters Art Gallery","Richard H Randall Jr","1985","isbn 0-933920-43-1","",""
"carowyn",1,0,"GEM BOOKS","Ivory","Afro-Portuguese Ivories","W.P. Fagg","","Batchworth Press / London - BP 105-s554","",""
"carowyn",1,0,"GEM BOOKS","Agates and Jaspers","The Agates of North America","Hugh Leiper ed.","1971","Arts &amp; Crafts Press / San Diego CA","",""
"carowyn",1,0,"GEM BOOKS","Agates and Jaspers","Agates","The Natural History Museum","1993","isbn 0-11-310012-4","",""
"carowyn",1,0,"GEM BOOKS","Jade","Antique Jade","Oscar Luzzato-Bilitz","1966","Cameo / Hamlyn House","",""
"carowyn",1,0,"GEM BOOKS","Jade","New Zealand Jade: The Story of Greenstone","Russell J Beck","1970","isbn 0-589-00424-7","",""
"carowyn",1,0,"GEM BOOKS","Sapphire","Sapphires are a Girl's Best Friend","Sue Heady","1999","isbn 0-78581-100-1","",""
"carowyn",1,0,"GEM BOOKS","Other","Sulphides: The Art of Cameo Incrustation","Paul Jokelson","1968","isbn 0-88365-134-3","",""
"carowyn",1,0,"GEM BOOKS","Other"," The Robert Haag Collection of Meteorites","Robert Haag","2003","Robert Haag / Tuscon AZ","",""
"carowyn",1,0,"GEM BOOKS","Minerals, Pigments","The Artifice of Beauty","Sally Pointer","2005","isbn 0-7509-3887-0","",""
"carowyn",1,0,"GEM BOOKS","Minerals, Pigments","Glossary of Obsolete Mineral Names","Peter Bayliss","2000","isbn 0-930259-04-1","",""
"carowyn",1,0,"GEM BOOKS","Minerals, Pigments","Encyclopedia of Mineral Names","William H Blackburn, William H Dennen","1997","isbn 0-921294-45-x","",""
"carowyn",1,0,"GEM BOOKS","Vertu - Boxes","Oriental Lacquer","Oscar Luzzato-Bilitz","1966","Cameo / Hamlyn House","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Greek and Pre-Greek","Alexander the Great: Treasures from an Epic Era of Hellenism","Dimitrios Pandermalis","2004","Alexander S Onassis Foundation / New York","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Polynesia","Gold Jewelry and Ornaments of Malaysia","Muzium of Negara","1988","isbn 967-9935-02-7","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Europe","Gold and Silver Treasures of Ancient Italy","Carlo Carducci","1969","The Abbey Library / London","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Middle East","Islamic Art: An Introduction","David James","1974","isbn 0-600-34854-7","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Europe","Ornament &amp; Jewellery: Archeological Finds from Eastern Europe","Klement Benda","1967","Artia / Prague","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Greek and Pre-Greek","The Search for Alexander: an Exhibition","","1980","isbn 0-8212-1117-x","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Greek and Pre-Greek","The Search for Alexander: Supplement to the Catalogue","","1982","Metropolitan Museum of Art / New York","",""
"carowyn",1,0,"JEWELRY BY CULTURE","American Pre-Columbian Cultures","The Use of Gold and Other Metals among the Ancient Inhabitants of Chiriqui, Isthmus of Darien","William H Holmes","1887","Washington","",""
"carowyn",1,0,"JEWELRY BY CULTURE","American Pre-Columbian Cultures","Zuni Fetishes","Frank Hamilton Cushing","1999","isbn 0-88714-144-7","",""
"carowyn",1,0,"JEWELRY BY CULTURE","British Isles","Metal Craftsmanship in Early Ireland","Dr Michael Ryan","","","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Egypt","Life Along the Nile: Three Egyptians of Ancient Thebes","Catharine H Roehring","2002","reprint of the Metropolitan Museum of Art Bulletin Summer 2002","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Europe","European Enamels","Isa Belli Barsali","1969","Hamlyn / Cameo Books","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Europe","Ivories of the West","Massimo Carra","1970","Hamlyn / Cameo Books","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Europe","Early Medieval Art","John Beckwith","1964","lcc 64-19953","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Europe","The Celts","T.G.E. Powell","1980","isbn 0-500-27275-1","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Europe","Secular Goldsmiths' Work in Medieval France: A History","R.W. Lightbown","1978","isbn 0-500-99027-1","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Greek and Pre-Greek","The Etruscans","Ellen Macnamara","1990","isbn 0-674-26907-1","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Greek and Pre-Greek","Jewelry of Ancient Colchis","Othar Lordkipanidze","1972","","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Greek and Pre-Greek","The Gold of Troy: The Story of Heinrich Schliemann and the Buried Cities of Ancient Greece","Robert Payne","1959","lcc 58-11361","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Middle East","The Kuban's Ancient Gold","N Anfimov","1987","Krasnodar Book Publishers","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Middle East","Treasures of the Holy Land: Ancient Art from the Israel Museum","The Metropolitan Museum of Art","1986","isbn 0-87099-471-9","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Oriental","Oriental Lacquer","Oscar Luzzato-Bilitz","1969","Hamlyn / Cameo Books","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Oriental","Antique Jade","Oscar Luzzato-Bilitz","1969","Hamlyn / Cameo Books","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Oriental","The Heart of the Dragon","Alasdair Clayre","1984","isbn 0-395-41837-2","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Rome","Antiquities of Roman Britain","The Trustees of the British Museum","1958","The British Museum","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Rome","Art of the Byzantine Era","David Talbot Rice","1963","lcc 92-63041","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Russia","Jewellery &amp; Metalwork in the Museums of Georgia","Alexander Javakhishvili &amp; Guram Abramishvili","1986","Aurora Art Publishers / Leningrad","",""
"carowyn",1,0,"JEWELRY BY CULTURE","American Pre-Columbian Cultures","Antique Jade","Oscar Luzzato-Bilitz","1969","Hamlyn / Cameo Books","",""
"carowyn",1,0,"JEWELRY BY CULTURE","Polynesia","Antique Jade","Oscar Luzzato-Bilitz","1969","Hamlyn / Cameo Books","",""
"carowyn",1,0,"PERIOD TRANSLATIONS","","De Virtutibus Lapidum / The Virtues of Stones","Damigeron","1989","isbn 0-9623780-0-3","",""
"carowyn",1,0,"PERIOD TRANSLATIONS","","The Book of Secrets","Albertus Magnus / Michael R Best &amp; Frank H Brightman editors","1973","isbn 0-87728-941-7","",""
"carowyn",1,0,"PERIOD TRANSLATIONS","","Treatises on Goldsmithing and Sculpture","Benvenuto Cellini / C.R. Ashbee","1967","lcc 66-13829","",""
"carowyn",1,0,"PERIOD TRANSLATIONS","","Pirotechnica","Vannoccio Biringuccio / Cyril Stanley Smith &amp; Martha Teach Gnudi","1943","lcc 59-6712","",""
"carowyn",1,0,"PERIOD TRANSLATIONS","","De Re Metallica","Georgius Agricola / Herbert Clark Hoover &amp; Lou Henry Hoover","1950","isbn 0-486-60006-8","",""
"carowyn",1,0,"PERIOD TRANSLATIONS","","On Stones","Theophrastus / Earle R Caley &amp; John C Richards","1956","Columbus, Ohio / Ohio State University","",""
"carowyn",1,0,"PERIOD TRANSLATIONS","","Physica","Hildegard Von Bingen / Priscilla Throop","1998","isbn 0-89281-661-9","chapters on stones, elements, metals",""
"carowyn",1,0,"PERIOD TRANSLATIONS","","On Stones / De Lapidibus","Theophrastus / D.E. Eichholz","1965","Oxford / At the Clarendon Press","",""
"carowyn",1,0,"PERIOD TRANSLATIONS","","The Craftsman's Handbook","Cennini / Daniel V Thompson Jr","1960","sbn 486-20054-x","",""
"carowyn",1,0,"PERIOD TRANSLATIONS","","A Roman Book on Precious Stones","Pliny the Elder / Sydney H Ball","1950","Lorrin L Morrison / Los Angeles, CA","",""
"carowyn",1,0,"MINING AND GEOLOGY BOOKS","","Devon's Ancient Industries and Handicrafts","A. Farquharson-Coe","1975","isbn 0-85932-086-3","",""
"carowyn",1,0,"MINING AND GEOLOGY BOOKS","","The Ancient Mining of Gold, Silver, and Precious Stone","Prof John Mastin","date not given","London / Simpkin, Marshall, Hamilton, Kent &amp; Co Ltd","",""
"carowyn",1,0,"MINING AND GEOLOGY BOOKS","","King Solomon's Golden Ophir","Carl Peters","1899 / reprint 1969","sbn 8371-1835-2","",""
"carowyn",1,0,"MINING AND GEOLOGY BOOKS","","The Inorganic Raw Materials of Antiquity","Andree Rosenfeld","1965","lcc 65-24572","",""
"carowyn",1,0,"MINING AND GEOLOGY BOOKS","","Ancient Salt Mining in Austria","Vincent Megaw, Graham Morgan, Thomas Stollner","","article out of 'Antiquity 74 (2000) 17-18'","",""
"carowyn",1,0,"MINING AND GEOLOGY BOOKS","","Gemstones of the World","Walter Schumann","1997","isbn 0-8069-9461-4","",""
"carowyn",1,0,"MINING AND GEOLOGY BOOKS","","Northwest Hunter's Gem &amp; Mineral Guide","Kathy J Rygle &amp; Stephen F Pedersen","1999","isbn 0-943763-24-x","",""
"carowyn",1,0,"MINING AND GEOLOGY BOOKS","","Southwest Treasure Hunter's Gem &amp; Mineral Guide","Kathy J Rygle &amp; Stephen F Pedersen","1999","isbn 0-943763-25-8","",""
"carowyn",1,0,"MINING AND GEOLOGY BOOKS","","Eastern Gem Trails","Floyd &amp; Helga Oles","","sbn 910652-06-6","",""
"carowyn",1,0,"METAPHYSICAL GEM BOOKS","","The Book of Talismans, Amulets &amp; Zodiacal Gems","William Pavitt","1974","isbn 0-85030-042-8","",""
"carowyn",1,0,"METAPHYSICAL GEM BOOKS","","Ancient Legends of Gems &amp; Jewels","Alda &amp; James Jangl","1985","self published","",""
"carowyn",1,0,"METAPHYSICAL GEM BOOKS","","Earth, Air, Fire and Water: More Techniques of Natural Magic","Scott Cunningham","2000","isbn 0-87542-131-8","",""
"carowyn",1,0,"METAPHYSICAL GEM BOOKS","","Crystam, Gem &amp; Metal Magic","Scott Cunningham","2000","isbn 0-87542-126-1","",""
"carowyn",1,0,"METAPHYSICAL GEM BOOKS","","The Magic of Jewels and Charms","George Frederick Kunz","1997","isbn 0-486-29671-7","",""
"carowyn",1,0,"METAPHYSICAL GEM BOOKS","","The Crystal Bible","Judy Hall","2003","isbn 1-58297-240-0","",""
"carowyn",1,0,"METAPHYSICAL GEM BOOKS","","Crystals, Gems &amp; Minerals of the Bible","Ruth V Wright &amp; Robert L Chadbourne","1970","isbn 0-87983-469-2","",""
"carowyn",0,0,"RESEARCH BOOKS","CLOTH BOOKS","Early Decorative Textiles","W. Fritz Volbach - Cameo Series","1969","The Hamlyn Publishing Group","","$15"
"carowyn",0,0,"RESEARCH BOOKS","COOK BOOKS","Blue &amp; Grey Cookery: Authentic Recipes from the Civil War Years","Hugh &amp; Judy Gowan","","","","5/14/05 w/ Norah &amp; kids at National Civil War Museum - $5"
"carowyn",0,0,"RESEARCH BOOKS","COOK BOOKS","Civil War in the Kitchen Cookbook","Hugh &amp; Judy Gowan","","","","5/14/05 w/ Norah &amp; kids at National Civil War Museum - $5"
"carowyn",0,0,"RESEARCH BOOKS","AGRICULTURAL BOOKS","Rare Breeds: Endangered Farm Animals in Photographs","Lawrence Alderson","1994","isbn 0-8212-2125-6","",""
"carowyn",0,0,"RESEARCH BOOKS","DYE BOOKS","A Perfect Red","Amy Butler Greenfield","10/8/05","isbn 0-06-052275-5","",""
"carowyn",0,0,"RESEARCH BOOKS","EUROPEAN HISTORY / CULTURE BOOKS","Scottish Superstitions","Raymond Lamont-Brown","1990","isbn 0-550-20059-2","",""
"carowyn",0,0,"RESEARCH BOOKS","AMERICAN INDIAN BOOKS","The Navajo Treaty 1868","intro by Martin A Link","","lcc 68-29989","",""
"carowyn",0,0,"RESEARCH BOOKS","AMERICAN HISTORY","Damn Dutch: Pennsylvania Germans at Gettysburg","David L Valuska &amp; Christian B Keller","","","","5/14/05 w/ Norah &amp; kids at National Civil War Museum - $27"
"carowyn",0,0,"RESEARCH BOOKS","AMERICAN HISTORY","Zuni Fetishes","Frank Hamilton Cushing","1999","isbn 0-88714-144-7","",""
"carowyn",0,0,"RESEARCH BOOKS","CALLIGRAPHY &amp; ILLUMINATION","Illuminated Manuscripts","Janice Anderson","","isbn 1-57717-155-1","","gift from DB"
"carowyn",0,0,"RESEARCH BOOKS","CALLIGRAPHY &amp; ILLUMINATION","Secreta: A Compilation of Medieval Recipes for Ink","THL Alienora Russeal","2004","","","(B)"
"carowyn",0,0,"RESEARCH BOOKS","MUSIC","The Messiah (vocal score)","G.F. Handel","1912","","",""
"carowyn",0,0,"RESEARCH BOOKS","MUSIC","Musical Instruments Through the Ages","Dr Alexander Buchner","1961","Batchworth Press Ltd / London","",""
"carowyn",0,0,"RESEARCH BOOKS","HERALDRY","Simple Heraldry","Iain Moncreiffe &amp; Don Pottinger","1979","isbn 0-8317-7799-0","",""
"carowyn",0,0,"RESEARCH BOOKS","PAINTING / OTHER FLAT ART","Leonardo","Frank Zollner","2000","isbn 3-8228-5979-6","",""
"carowyn",0,0,"RESEARCH BOOKS","PAINTING / OTHER FLAT ART","The Art of Amy Brown","introduction by charles de Lint","2003","isbn 0-9744612-2-9","",""
"carowyn",0,0,"RESEARCH BOOKS","PAINTING / OTHER FLAT ART","Leonardo da Vinci: The Mind of the Renaissance","Alessandro Vezzosi","1996","isbn 0-8109-2809-4","","$8"
"carowyn",0,0,"RESEARCH BOOKS","ACCESSORIES","Boxes: The Smithsonian Illustrated Library of Antiques","William C Ketchum Jr.","1982","lcc 82-72760","",""
"carowyn",0,0,"RESEARCH BOOKS","ACCESSORIES","Oriental Lacquer","Oscar Luzzato-Bilitz","1969","Paul Hamlyn / Cameo Books","","$7"
"carowyn",0,0,"RESEARCH BOOKS","ACCESSORIES","The National Coach Museum, Lisbon","Silvana Bessone","1993","isbn 2-907333-55-0","",""
"carowyn",0,0,"RESEARCH BOOKS","POTTERY &amp; PORCELAIN","Porcelain: The Smithsonian Illustrated Library of Antiques","Jerry E Patterson","1979","lcc 78-62736","",""
"carowyn",0,0,"RESEARCH BOOKS","SLEIGHT OF HAND","Louis Tannen's Number 10 Catalog of Magic","Louis Tannen","1973","Louis Tannen Inc/ NY","",""
"carowyn",0,0,"RESEARCH BOOKS","DOMESTIC CRAFTS","The Art of Doing Bread Sculpture Techniques","Helmke van Geel ed.","1985","isbn 9-06-577034-8","",""
"carowyn",0,0,"RESEARCH BOOKS","TREASURE HUNT","A Treasure's Trove","Michael Stadther","2004","isbn 0-9760618-0-5","2/7/05","$20"
"carowyn",0,0,"RESEARCH BOOKS","RELIGION / MYTHOLOGY (DEALER'S CHOICE)","(B) Symbols of Church","Carroll E Whittemore","1987","isbn 0-687-18301-4","",""
"carowyn",0,0,"RESEARCH BOOKS","RELIGION / MYTHOLOGY (DEALER'S CHOICE)","The Cross: Selected Writings &amp; Images","Max Lucado","1998","isbn 1-57673-093-x","",""
"carowyn",0,0,"RESEARCH BOOKS","RELIGION / MYTHOLOGY (DEALER'S CHOICE)","Goddesses, Heroes and Shamans: The Young People's Guide to World Mythology","Scholastic Inc","1994","isbn 0-439-15385-9","",""
"carowyn",0,0,"RESEARCH BOOKS","RELIGION / MYTHOLOGY (DEALER'S CHOICE)","The Pope in America: A Pictorial Record","Chartwell Books","1979","isbn 0-89009-314-8","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Ancient Bronzes, Ceramics and Seals","P.R.S Moorey et al","1981","isbn 0-87587-100-3","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Antiquities","Christie's - New York","12/7/00","","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Antiquities","Christie's - New York","12/10/04","","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Antiquities","Sotheby's - London","5/19/86","","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Antiquities","Sotheby's - London","12/9/85","","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","The Breitbart Collection of Antiquities and Ancient Glass","Sotheby's - New York","6/20/90","","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Christie's Magazine - Sep/Oct 2004","The C. Ruxton and Audrey B. Love Collection","4/05","","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","The Glory of Baroque Dresden: The State Art Collections Dresden","Mississippi Arts Commission for International Cultural Exchange","2004","lcc 20031166375","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Portrait Miniatures, Objects of Vertu, Icons, Russian and Other Silver","Christie's - South Kensington","12/7/04","","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Silver &amp; Furniture","Bonham's - West Country","6/29/95","","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Syria: Land of Civilizations","Michel Fortin","1999","ISBN 2-7619-1521-6","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Silver, Jewellery &amp; Furniture""Duke's Auction House","8/14-15/03","","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","Catalogue of Egyptian, Irish Bronze Age, Western Asiatic, Greek, Etruscan, Roman, Anglo-Saxon, Frankish and Viking Antiquities","Sotheby's - London","7/12/71","","",""
"carowyn",1,0,"MISCELLANEOUS (Jewelry, Goldwork, Antiquities, etc., Combined)","","American Journal of Archeology","Vol 109 No 2","April 2005","issn 0002-9114","",""
"apolloniavoss",1,0," MOST Up to date booklist is at Library Thing","","http://www.librarything.com/profile/ApolloniaVoss","Library Thing","2012-02-05","","",""
"apolloniavoss",1,0,"Anglo-Saxon","","The Trewhiddle Hoard.","David M. Wilson and C.E. Blunt","","appearing in Arcaeologia volume 98 pages 75-122.","",""
"apolloniavoss",1,0,"Bone Carving &amp; Ivories","","Gothic Ivories of the 13th and 14th Centuries","Joseph Natanson","","Alec Tiranti Ltd: London. 195","
"apolloniavoss",1,0,"Bone Carving &amp; Ivories","","Ivories of the West","Massimo Carrà","1966","ISBN:600348024","The Hamlyn House: London",""
"apolloniavoss",1,0,"Byzantium/Byzantine","","The Gold Breast Chain From the Early Byzantine Period in the Römisch-Germainsches Zentralmusuem","Katharine R. Brown","1984","ISBN: 3884670085","",""
"apolloniavoss",1,0,"Celtic: Ireland; Irish","","Irish Shrines &amp; Reliquaries of the Middle Ages","Raghnall Ó Floinn","1994","ISBN: 0946172404","National Musuem of Ireland: Dublin",""
"apolloniavoss",1,0,"Islamic / Middle Eastern","","Islamic Metalwork","Rachel Ward","1993","ISBN: 0500277311","Thames and Hudson Inc: NY","This book traces the range of materials and techniques, decorative motifs and diverse local styles of Islamic metalwork from the sevenths to the fifteenth century, with a wealth of illustrations from the British Museum and other major collections."
"apolloniavoss",1,0,"Islamic / Middle Eastern","","Sasanian Silver: Late Antique and Early Mediaeval Arts of Luxury from Iran","University of Michigan Museum of Art: Ann Arbor","1967","Exhibition catalog and historical survey","",""
"apolloniavoss",1,0,"Middle Ages","","Medieval Jewellery from the eleventh to the fifteenth century","David A Hinton","1982","ISBN:0852635761","Shire Publications, LTD: UK. Approx 50 pages","An excellent, short overview of Medieval Jewellery."
"apolloniavoss",1,0,"Middle Ages","","Round Wire in the Early Middle Ages","Niamh Whitfield","","Appearing in Jewellery Studies Volume 4 pages 13-28","",""
"apolloniavoss",1,0,"Viking","","The Viking-Age Gold and Silver of Scotland (AD 850-1100)","James Graham-Campbell","1995","ISBN: 0948636629","National Museums of Scotland: Hampshire",""
"apolloniavoss",1,0,"Viking","","Viking Jewelry [Dissertation]","Ellen M. Janis","1973","Carnegie Mellon University of Fine Arts","",""
"apolloniavoss",1,0,"Viking","","Braid, weave, and 'foxtail'","Leena Tomanterä","1984","Appearing in Fenno Ugri et Slavi 1983: Papers Presented by the Participants in the Soviet-Finnish Symposium 'Trade, Exchange and Culture Relations of the Peoples of Fennoscandia and Eastern Europe' 3 May 1983.  Helsinki: Suomen Muinaismuistoyhdistys-Finska Fornminnes Foreningen. pp. 70-76","",""
"apolloniavoss",1,0,"Viking","","Traces of The Central Asian Culture in the North","Leena Tomanterä","1986","Appearing in Sumalais-urgilaisen Seuran Toimituksia Mémoires De La Société Finno-Ougrienne. 194. Helsinki pp. 263-278","",""
"apolloniavoss",1,0,"Enamel","","Enamels, Enameling, Enamelists","Glenice Lesley Matthews","1984","ISBN: 080197284X","Chilton Book Company: Radnor, PA",""
"apolloniavoss",1,0,"Enamel","","First Steps in Enameling","Jinks McGrath","1994","ISBN: 0785800336","Quintet Publishing: Edison NJ",""
"apolloniavoss",1,0,"Glass Beads","","Making Glass Beads","Cindy Jenkins","1997","ISBN:  1887374167","Lark Books: New York",""
"apolloniavoss",1,0,"Glass Beads","","Beads: An Exploration of Bead Traditions Around the World","Janet Coles &amp; Robert Budwig","1997","ISBN: 0684834626","Simon &amp; Schuster: N.Y",""
"apolloniavoss",1,0,"Jewelry Techniques","","The Splendor of Ethnic Jewelry","France Borel","1994","ISBN:0810944537","Harry Abrams: NY",""
"apolloniavoss",1,0,"Anglo-Saxon","","The Sutton Hoo Ship-Burial: A Provisional Guide","the British Museum","1947","","",""
"apolloniavoss",1,0,"Vikings","","From Viking to Crusader: The Scandinavians and Europe 800-1200","Else Roesdahl and David M. Wilson","1992","ISBN:0847916257","Rizzoli: New York",""
"apolloniavoss",1,0,"Vikings","","Övergångstidens Metallkonst","AV Wilhelm Holmqvist","1963","Almqvist &amp; Wiksell: Stockholm","",""
"apolloniavoss",1,0,"Vikings","","The Vikings in England","Else Rosedahl et al","1981","ISBN:0950743208","Penshurst Press Ltd: Kent",""
"apolloniavoss",1,0,"Vikings","","Viking Antiquities in Great Britain and Ireland [Multi volume set]","H. Aschehoug &amp; Co: Oslo","1940","","","Of interest are: Part II: Viking Antiquities in Scotland,  by Sigurd Grieg, Part III: Norse Antiquities in Ireland  by Johs. Bøe, Part IV: Viking Antiquities in England with a Supplement of Viking Antiquities on the Continent of Western Europe by Anathon Bjørn and Haakon Shetelig, Part V: British Antiquities of the Viking Period, Found in Norway by Jan Petersen."
"apolloniavoss",1,0,"Vikings","","Viking Artefacts: A Select Catalogue","James Graham-Campbell","1980","ISBN:0714113549","British Museum Publications Limited: London",""
"apolloniavoss",1,0,"Anglo-Saxon","","The Art of the Anglo-Saxon Goldsmith: Fine Metalwork in Anglo-Saxon England: its Practice and Practitioners","Elizabeth Coatsworth and Michael Pinder","2002","ISBN: 0851158838","Boydell Press: Woodbridge","Still in print"
"apolloniavoss",1,0,"Byzantine","","Byzantine Women and Their World","Ioli Kalavrezou","2003","ISBN: 1891771280","Harvard University Press: New Haven","Still in print"
"apolloniavoss",1,0,"Jewelry Techniques","","Ancient Wire: An illustrated gude ot making intricate jewelry in the manner of the Vikings and other ancient cultures","Helen Jacobs","","","",""
"apolloniavoss",1,0,"A Chainmaker's Library","","Classical Loop-in-Loop Chains","Jean Reist Stark","December 15, 1999","ISBN: 0961598484","Publisher: Brynmorgen Pr","Still In Print"
"apolloniavoss",1,0,"A Chainmaker's Library","","Great Wire Jewelry: Projects &amp; Techniques","Irene Peterson","December 1999","ISBN: 1579900933","Publisher: Lark Books","Still In Print"
"apolloniavoss",1,0,"A Chainmaker's Library","","Knitting with Wire","Nancie M. Wiseman","April 1, 2003","ISBN: 1931499314","Publisher: Interweave Press","Still In Print"
"apolloniavoss",1,0,"A Chainmaker's Library","","Making Silver Chains","Glen F. Waszek","June 2001","ISBN: 1-57990-183-2","Publisher: Lark Books","Still In Print"
"apolloniavoss",1,0,"A Chainmaker's Library","","Making Wire Jewelry: 60 Easy Projects in Silver, Copper &amp; Brass","Helen Clegg , Mary Larom","December 1999","ISBN: 157990002X","Publisher: Lark Books","Still In Print"
"apolloniavoss",1,0,"A Chainmaker's Library","","Textile Techniques in Metal, For Jewelers, Textile Artists and Sculptors","Arline M. Fisch","December 2001","ISBN: 1-57990-256-1","Publisher: Lark Books","Still In Print"
"apolloniavoss",1,0,"Jewelry Techniques","","Jewelry Concepts and Technolgy","Oppi Untracht","1982","ISBN: 0385041853","Doubleday: New York","Still in print"
"apolloniavoss",1,0,"Jewelry Techniques","","Practical Casting: A Studio Reference (revised edition)","Tim McCreight","1994","ISBN:096159845x","Brynmorgen Press: Cape Elizabeth, Maine",""
